CABIN, WOODS, YES, 147, 21, .143, .026, .0010, .0009, 2, 1, 1.0, 1, 9, 23, 6.96, , N, .88, .50, .050, 1, 14, 25, 6.87, , N, 1.36, .29, .028, 1
CABIN, MOUNTAIN, YES, 147, 5, .034, 0.000, .0040, 0.0000, 1, 1, 0.0, 0, 9, 23, 6.96, , N, .88, .50, .050, 1, 17, 33, 6.25, , N, 1.29, .50, .169, 1
CABIN, WOOD, YES, 147, 4, .027, 0.000, .1160, .0165, 1, 1, 2.0, 1, 9, 23, 6.96, , N, .88, .50, .050, 1, 26, 55, 5.81, , N, 1.73, .50, .029, 1
CABIN, CAMP, YES, 147, 3, .020, .020, 0.0000, .0037, 0, 1, 1.0, 1, 9, 23, 6.96, , N, .88, .50, .050, 1, 19, 75, 5.69, , N, .83, .17, .059, 1
CABIN, COTTAGE, YES, 147, 3, .020, .016, 0.0000, .0705, 0, 1, 2.0, 2, 9, 23, 6.96, , N, .88, .50, .050, 1, 11, 19, 5.93, , N, 1.33, .22, .001, 1
CABIN, CRUISER, NO, 147, 2, .014, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 9, 23, 6.96, , N, .88, .50, .050, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
CABIN, SHIP, YES, 147, 2, .014, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 9, 23, 6.96, , N, .88, .50, .050, 1, 9, 83, 6.25, N, N, 2.22, .44, .085, 1
CABINET, KITCHEN, YES, 145, 22, .152, .020, .0070, .0064, 3, 0, 3.0, 2, 16, 17, 6.18, P, N, 2.31, .31, .025, 1, 22, 90, 6.63, , N, 2.00, .40, .021, 1
CABINET, DOOR, YES, 145, 14, .097, 0.000, .0050, .0009, 2, 0, 1.0, 1, 16, 17, 6.18, P, N, 2.31, .31, .025, 1, 23, 312, 5.95, , N, 1.27, .68, .181, 1
CABINET, SHELF, YES, 145, 13, .090, .086, .0020, .0144, 2, 0, 9.0, 7, 16, 17, 6.18, P, N, 2.31, .31, .025, 1, 19, 12, ¥, , N, 2.12, .18, .009, 1
